sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
149,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,24,7,2,2,August
150,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,537,114,96,50,August
151,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,370,87,56,38,August
152,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,240,44,45,32,August
153,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,656,113,73,99,August
154,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0,0,0,0,August
155,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,1,0,0,0,August
156,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,2,0,0,0,August
157,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,27,2,1,2,August
158,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,51,16,2,8,August
159,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,12,4,0,0,August
160,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Sand,916,139,93,69,August
161,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Attempt to commit,35,6,4,5,August
162,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Tractors,8,2,4,1,August
163,A - IPC Crime,THEFT (Sec.379 to 389 IPC),At ATM,54,14,4,6,August
164,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Communication And Elec. Wire,168,33,28,19,August
165,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cattle,347,64,45,56,August
166,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cycle,76,20,4,6,August
167,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Lorries/Trucks,65,17,10,10,August
168,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Buses,8,0,2,1,August
169,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Cars / Jeeps,167,34,23,23,August
170,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Two Wheelers ,7688,1394,991,874,August
171,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobies - of Three Wheelers,203,47,36,28,August
172,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Accessories of Motor Vehicle,224,27,33,25,August
173,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Govt. Vehicle,3,0,1,0,August
174,A - IPC Crime,THEFT (Sec.379 to 389 IPC),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",948,244,122,108,August
175,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Fire Arms,4,0,0,2,August
