sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
132,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Commercial Places / Establishments,12.0,0.0,3.0,0.0,July
133,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Other Roads,24.0,6.0,5.0,3.0,July
134,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Other Places,34.0,5.0,5.0,4.0,July
135,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),River & Sea,1.0,0.0,0.0,0.0,July
136,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),Preparation And Assembly for Dacoity,93.0,13.0,11.0,12.0,July
137,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At ATM,0.0,0.0,0.0,0.0,July
138,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Residential Premises,111.0,21.0,20.0,5.0,July
139,A - IPC Crime,Robbery (Sec.392 to 394 IPC),On Highways,72.0,8.0,7.0,9.0,July
140,A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Trains,6.0,2.0,1.0,0.0,July
141,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Banks,0.0,1.0,0.0,0.0,July
142,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Commercial Places / Establishments,49.0,19.0,3.0,5.0,July
143,A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Other Places,519.0,91.0,36.0,42.0,July
144,A - IPC Crime,Robbery (Sec.392 to 394 IPC),Chain Snatching,460.0,44.0,49.0,54.0,July
145,A - IPC Crime,Robbery (Sec.392 to 394 IPC),Attempt to Commit,37.0,5.0,5.0,6.0,July
146,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,1802.0,259.0,231.0,198.0,July
147,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,2.0,1.0,1.0,0.0,July
148,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0.0,0.0,0.0,0.0,July
149,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,24.0,7.0,2.0,2.0,July
150,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,537.0,114.0,96.0,50.0,July
151,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,370.0,87.0,56.0,38.0,July
152,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,240.0,44.0,45.0,32.0,July
